DATE,Accommodation,Accommodation and Food Services,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Air Transportation,"Architectural, Engineering, and Related Services",Automotive Repair and Maintenance,Average Hourly Earnings of All Employees Construction,Average Hourly Earnings of All Employees Education and Health Services,Average Hourly Earnings of All Employees Financial Activities,Average Hourly Earnings of All Employees Goods Producing,Average Hourly Earnings of All Employees Leisure and Hospitality,Average Hourly Earnings of All Employees Manufacturing,Average Hourly Earnings of All Employees Other Services,Average Hourly Earnings of All Employees Professional and Business Services,Average Hourly Earnings of All Employees Total Private,"Average Hourly Earnings of All Employees Trade, Transportation, and Utilities",Average Weekly Earnings of All Employees Construction,Average Weekly Earnings of All Employees Education and Health Services,Average Weekly Earnings of All Employees Financial Activities,Average Weekly Earnings of All Employees Leisure and Hospitality,Average Weekly Earnings of All Employees Manufacturing,Average Weekly Earnings of All Employees Other Services,Average Weekly Earnings of All Employees Private Service Providing,Average Weekly Earnings of All Employees Professional and Business Services,Average Weekly Earnings of All Employees Total Private,"Average Weekly Earnings of All Employees Trade, Transportation, and Utilities",Average Weekly Hours of All Employees Construction,Average Weekly Hours of All Employees Education and Health Services,Average Weekly Hours of All Employees Financial Activities,Average Weekly Hours of All Employees Goods Producing,Average Weekly Hours of All Employees Leisure and Hospitality,Average Weekly Hours of All Employees Manufacturing,Average Weekly Hours of All Employees Other Services,Average Weekly Hours of All Employees Private Service Providing,Average Weekly Hours of All Employees Professional and Business Services,Average Weekly Hours of All Employees Total Private,"Average Weekly Hours of All Employees Trade, Transportation, and Utilities",Average Weekly Hours of Production Employees Manufacturing,Business Support Services,Construction,Couriers and Messengers,Education and Health Services,Educational Services,Federal Government,Financial Activities,Food Services and Drinking Places,Goods Producing ,Government,Health Care and Social Assistance,Information ,Investigation and Security Services,Legal Services ,Leisure and Hospitality,Local Government ,Management of Companies and Enterprises ,"Management, Scientific, and Technical Consulting Services",Manufacturing,Mining and Logging,"Mining, Logging, and Construction ",New Private Housing Units Authorized by Building Permits,Other Services,Personal and Laundry Services,Private Service Providing,Professional and Business Services,"Professional, Scientific and Tech Services",Real Estate Leasing and rental Services,Real Estate,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Retail Trade,Service-Providing,Services to Buildings and Dwellings,Social Assistance,State Government,Support Activities for Transportation,Total Nonfarm,Total Private,Transportation and Warehousing,Travel Arrangement and Reservation Services,Truck Transportation,Unemployment Rate,Utilities,Warehousing and Storage,Waste Management and Remediation Services,Water Transportation,Wholesale Trade
01-12-1993,143.4,586.6,46,140.7,127.8,30.9,48.6,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.6,26.4,706.3,56,124.7,384.8,443.2,856.9,909.7,650.3,132.8,57.3,64.3,732,594,53.6,18.4,478.9,,,12875,242.3,69,3954.5,434.6,240.3,129.1,87,105.4,838.9,4864.2,0,78.5,191,36.2,5721.1,4811.4,183.6,0,39.8,6.4,31.7,18.4,12.9,8.9,267.5
01-01-1994,143.8,588.8,49.9,142,129.4,31.7,47.7,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.9,22.9,698.1,54.4,122,384.9,445,838.2,900.6,643.7,132.5,55.8,63,735.4,591.4,53.5,16.5,471.7,,,10758,240.3,68.7,3896.6,435.2,239.7,128.2,87,105.1,795.9,4797.2,0,78.1,187.2,36.6,5635.4,4734.8,180.8,0,39.8,7.2,31.4,17.2,12.6,8.7,262.1
01-02-1994,147.8,606.3,52,147.5,134.7,32.2,48.6,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.6,22.8,706.9,56.7,121.7,387.4,458.5,844.6,913.7,650.2,132.7,57.1,63.5,755.1,600.8,53.8,17.1,473.3,,,9225,242.5,69.3,3944.2,446.4,245.1,128.9,87.2,106.4,796,4857.9,0,79.5,191.2,36.6,5702.5,4788.8,181.6,0,39.9,6.8,31.6,17.2,12.8,8.7,264
01-03-1994,151.8,623.4,51.8,153.8,140.8,32.5,49.3,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,22.9,713.8,57.5,121.5,390.6,471.6,849.7,919.5,656.3,133.6,58.7,64.2,776.4,604.6,53.7,17.7,472.9,,,11376,244.6,69.6,3996.6,456.4,248.9,130.5,88.1,107.3,799.9,4916.1,0,80.4,193.4,37,5765.8,4846.3,183.7,0,40.4,6.7,31.6,17.4,13,8.8,266
01-04-1994,149.6,617.8,50.9,161.6,148.8,32.4,49.7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.2,23.8,717.5,57.6,121.5,390.3,468.2,850.1,921.2,659.9,133.7,57.9,64.1,772,604.1,53.2,18.1,472.2,,,10105,244.7,68.7,4005.3,466.9,252.1,130.4,87.4,107.6,798.8,4926.5,0,80.8,195.6,37,5776.6,4855.4,182.2,0,38,6.5,31.6,17.2,12.8,8.8,267.6
01-05-1994,147.2,613,46.2,165.5,152.7,32.5,50,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.4,23.8,720.6,56,121,390.5,465.8,855.8,917.1,664.6,134.3,59.1,64.4,764.5,603.5,53.7,18.7,473.6,,,10795,244.5,68.4,4006.3,468.7,249.5,130.2,87.1,107.7,798.6,4923.4,0,81.7,192.6,36.7,5779.2,4862.1,184.9,0,40.6,6.3,31.6,17.4,12.8,8.8,268.1
01-06-1994,146.6,606.9,44.9,166.1,153.4,32.3,50.8,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.1,23.7,720.6,53.3,121,393,460.3,863.4,907.7,667.3,135.8,59.2,65.2,759.5,601.1,55.9,19.2,475.5,,,11368,246.1,68.1,4012.9,473.1,251.1,131.1,87.4,109.3,800.3,4920.6,0,81.4,185.6,36.3,5784,4876.3,184.6,0,40.8,6.8,31.2,17.3,12.7,8.9,268.7
01-07-1994,143.4,592.1,44.5,160.4,147.3,32.5,51.1,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.7,23.9,715.4,48,120.5,393,448.7,860.9,851,667.4,137.3,58,65.4,741,541.8,55.9,19.7,471.5,,,11632,245.3,66.9,3974,467.9,251.6,130.9,87.4,110.3,790.7,4825,0,80.7,188.7,36.5,5685.9,4834.9,185,0,40.9,6.9,30.9,17.2,13.1,8.9,267.5
01-08-1994,142.3,592.7,45.6,159.3,146.3,32.8,51.4,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.1,23.9,719.3,49.6,120.2,393.8,450.4,865.7,835.1,669.7,137.9,59.1,65.1,740.1,528.3,56.1,20.1,472.9,,,13023,244.4,66.8,3990.2,469.8,254.4,131.4,87.7,109.6,798.5,4825.3,0,80.6,186.6,37.1,5691,4855.9,186.8,0,41.7,6.7,30.9,17.2,13,9,268.7
01-09-1994,140.8,591,46.3,160.3,147.4,32.5,51.6,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.6,23.7,731.5,56.5,120.2,393.4,450.2,870.7,924.4,675,138.3,60,64.9,736.1,606.5,55.8,19.4,474.5,,,11132,244.9,67.3,4010.3,471.3,255.2,131,87.2,108.9,806.5,4934.7,0,82.3,197.7,36.9,5805.4,4881,186.6,0,41.8,6.5,31,17.3,12.9,8.9,270.7
01-10-1994,135,582.4,45.4,170.4,157.5,32.6,51.4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,24.2,732.1,58.2,120.4,391.8,447.4,865.6,931.2,673.9,136.7,59.9,64.2,725.4,612.8,55.4,18.9,472,,,10059,246,67.9,4016.8,480.6,254.8,129.1,86.6,109.6,815.9,4948,0,80.7,198,37,5813.6,4882.4,185.9,0,40.8,6.1,31.1,16.7,12.9,8.7,271.3
01-11-1994,136.9,591.9,46,171.6,158.8,32.7,51.8,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.2,25,738,59,120.4,393.2,455,871.1,973.2,679,137.9,60.5,64.2,739,655.3,56.1,19.2,474.3,,,9404,247.2,68.6,4080.2,485.3,257.6,129.2,86.3,110,847.2,5053.4,0,81.8,197.5,36.7,5924.5,4951.3,187.8,0,41.9,5.8,31.1,16.8,12.8,8.8,273.5
01-12-1994,138.9,601.3,47.7,178,165,33.3,52.2,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.6,28.8,742.1,58.5,123.3,397.2,462.4,876.7,932.3,683.6,138.5,60.7,64.9,751.5,611,56.9,19.6,476.5,,,9600,249.4,69.4,4148.2,497,262.1,131.3,87.7,110.7,872.1,5080.5,0,82.2,198,37.7,5957.2,5024.9,194.4,0,42.6,5.2,30.9,16.9,13,9,275.1
01-01-1995,142.3,603.5,53.3,167.1,154.3,33.5,50.7,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.4,24.9,737.9,56.7,119.1,395,461.2,866.7,917.2,681.2,135.8,59.1,63.4,752,605.8,54.8,18.5,474.5,,,9940,247.8,68.6,4075.2,483.7,261.8,129.8,87.1,110.8,831.1,4992.4,0,80.9,192.3,36.4,5859.1,4941.9,188.3,0,42.2,5.9,30.3,16.8,12.8,8.7,273.3
01-02-1995,148,622.1,55.6,171.8,158.8,33.7,51.4,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.6,24.9,747.3,59.6,118.9,398.2,474.1,873.2,932.5,687.7,136.7,61.1,64,773.4,615.7,55.3,19.3,477.7,,,8166,250.1,69.3,4127.4,495.1,268,131.1,87.8,111.7,830.5,5059.9,0,82.3,197.9,37,5933.1,5000.6,189.9,0,42.5,5.1,30.3,17,13,8.9,275.9
01-03-1995,151.5,638.4,56.2,176.6,163.6,34.3,52.3,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.3,24.8,754,60.1,118.8,401.3,486.9,880.1,939.8,693.9,138.3,62.3,64.3,792.6,618.7,55.3,19.9,479.9,,,10677,252.8,70.1,4176.6,503.7,271.8,132.9,89,112.9,832.9,5116.4,0,83.2,202.3,37.7,5996.5,5056.7,192.1,0,42.9,5,30.4,17.1,13,9,278.5
01-04-1995,147.5,623.1,54.6,183.7,170.9,33.4,52.6,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.4,25.5,748.1,60,119,399,475.6,879.6,936.3,688.1,136.7,61.3,63.9,780.6,616.8,54,19.9,478.2,,,9686,252.7,69.8,4147.5,508.5,270.8,133.3,89.4,113,823.5,5083.8,0,82.7,200.5,37.6,5963.4,5027.1,191.6,0,42.6,5.2,29.9,17.6,12.8,8.8,276.9
01-05-1995,146.2,621.4,51,190.9,177.7,33.8,53.3,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,25.1,750.6,59.4,118.8,399.6,475.2,883.1,935.4,691.2,137.9,61.8,64.4,776.5,617.4,54.1,20.3,479.1,,,10038,253.7,69.8,4159.6,515.7,270.7,133.1,88.9,113.3,825.4,5095,0,83.1,199.2,38,5978.1,5042.7,192.2,0,42.7,5.3,29.9,17.6,13.2,8.9,278.1
01-06-1995,147,618.2,47.8,192.8,179.4,33.9,53.9,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.6,25,750.6,56,119.3,402.5,471.2,888.1,921.6,694.6,140.1,61.7,65.7,774.4,611.3,54.9,20.8,479.5,,,11208,255,69.6,4170.1,519.4,271.7,133.9,89.4,114.3,827.7,5091.7,0,82.1,191,37.5,5979.8,5058.2,191.7,0,43,5.8,29.8,17.1,13.4,9,278.9
01-07-1995,145,606.3,48.2,183.5,170.1,34.1,53.8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.4,26.1,740,49.2,119.9,401.2,461.3,881.7,856.2,690.8,138.5,60.7,64.9,759.5,544,54.4,20.9,475.3,,,10101,253.6,68.5,4116.6,508.5,270.6,134,89.9,114.7,818.4,4972.8,0,79.2,192.3,37.2,5854.5,4998.3,191.2,0,42.2,6.1,29.7,17.5,13.4,8.9,276
01-08-1995,144.1,605.4,48.3,192.8,179.3,34.3,54,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.7,26,743.4,50.9,120.1,402.6,461.3,887,841.4,692.5,139.4,61.3,65.1,756.9,529.6,54.8,21.2,477.3,,,10577,253.6,68.6,4141.3,520.5,272.9,134.3,90.1,114.2,824.6,4982.7,0,79.7,191.7,37.8,5869.7,5028.3,192.5,0,42.7,6,29.7,17.4,13.5,9,278.1
01-09-1995,142.7,603.3,47.7,189.6,176,34.5,54.3,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.2,26.2,755.3,57.7,120.2,403.7,460.6,892,931,697.6,140.2,61.1,65,753.2,610,55,21.7,479.7,,,13539,255.2,69.3,4163.6,519,274.4,133.6,89,114.2,833.1,5094.6,0,81.1,200.8,37.6,5986.6,5055.6,194,0,43.3,6,29.9,17.7,13.6,9.1,280
01-10-1995,141,596.6,51.5,199.2,185.7,34.5,53.9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.9,25.8,759.2,60,120.3,400.3,455.6,890.7,932.4,699.2,138.5,60.4,65.4,745.7,611.7,55.5,21.7,479.8,,,9266,254.4,68.5,4180.1,533.3,278.6,130.8,87.9,114.8,842.9,5112.5,0,80.5,200.4,38.2,6003.2,5070.8,194.9,0,43.4,5.6,29.9,17.9,13.5,8.9,281
01-11-1995,143.6,608.5,51.9,208,194.4,34.7,53.9,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.5,26.6,765.8,60.8,120.5,403.7,464.9,896.9,937.7,705,139.8,60.5,65.3,762.2,615.7,56,21.9,482.3,,,9891,256.1,69,4256.3,545.7,281.7,131.8,88.4,115.4,873,5194,0,81,201.5,38.8,6090.9,5153.2,197.4,0,44.2,5.4,29.9,17.9,13.6,9.1,282.7
01-12-1995,145.4,616.3,52.1,209.4,195.8,35.1,54.2,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.9,30.7,771.4,60.2,122.9,406.5,470.9,900.1,938.7,711.2,141.9,59.8,66.1,773,614.6,56.2,22.5,484,,,9668,257.2,69.4,4320,551,285.4,132.6,88.8,115.9,900.6,5258.7,0,80.8,201.2,39.6,6158.8,5220.1,203.9,0,44.5,5.1,29.7,18.1,13.6,9.4,284.8
01-01-1996,146,621.9,52.7,198,184.1,34.5,52.1,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,407.2,26.6,748.6,57.1,119.6,401.7,475.9,895.7,927.5,691.5,138.6,57.6,63.9,776.7,612.3,55.7,21.4,478.5,,,9743,255.8,70.1,4209.2,530.5,276.8,131.4,88.4,113.6,852.3,5136.7,55.6,77.3,195.6,37.9,6032.4,5104.9,196.4,13.8,43.3,5.5,29,18.1,13.9,9.2,279.6
01-02-1996,150.5,637.4,55.3,210,196.3,35.1,52.6,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,413.2,26.6,755.4,59.9,119.3,404.8,486.9,905.2,940.4,695.5,139.2,59.4,64.3,796.4,621,56.1,22.1,482,,,9376,259.4,71.5,4262.9,548.6,282.5,132.2,88.4,114.5,848.3,5203.3,58.5,78.2,200.1,38.3,6108.5,5168.1,199.2,14.5,43.7,5.1,29.2,18.3,13.7,9.3,282.4
01-03-1996,154.4,653.8,54.8,221.3,207.1,35.6,53.4,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,417.7,26.8,759.4,60.5,119.3,407.2,499.4,911,970.2,698.9,141.3,60.7,64.7,816.9,646.9,56.7,22.5,483.2,,,9856,260.9,71.9,4317,563.1,285.1,132.1,87.4,115,853.5,5287.2,61.1,78.5,204,38.6,6198.2,5228,201,15.2,44.3,5,29.4,18.3,14.2,9.4,284.3
01-04-1996,152,643.3,53.8,230.2,215.8,35.4,53.6,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,414.6,26.1,756.9,60.2,120.2,406.2,491.3,907,941.7,696.7,141.1,61.2,64.5,804.9,619.7,54.2,22.7,482.5,,,11069,257.9,70.9,4288.8,567.9,283.5,132.6,86.3,113.7,844.6,5230.5,63.2,77.3,201.8,38,6137.5,5195.8,198.3,15.7,43.5,4.8,29.1,18.2,14.4,9.2,281.9
01-05-1996,150.4,639.7,50.2,237.2,222.9,35.8,53.9,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,418.2,26.2,759.8,59.4,119.8,409.5,489.3,913,940.1,700.4,142.8,62,65,798.5,619.1,54.4,23.3,484.8,,,11174,259.2,71.1,4303.8,574.5,282.9,133.2,86.3,114,847.5,5243.9,64.9,78.3,201.2,38.3,6156.9,5216.8,199.7,16.1,43.9,5.1,28.8,18.2,14.3,9.2,283.5
01-06-1996,151.7,636.3,47.7,239.1,224.9,35.9,54.1,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,420.8,26.3,758.5,55.5,119.8,411.5,484.6,916.1,924.8,703,144.1,61.5,66,797.4,613.4,55.1,23.3,485.3,,,10603,259.7,70.6,4305.9,576.1,281.9,133.9,86.5,115.1,845.9,5230.7,65.4,77.4,191.6,38.7,6146.8,5222,200.3,16.2,43.9,5.3,28.5,18.3,14.2,9.2,283.9
01-07-1996,147.3,613.8,46.2,247,232.7,35.8,54.1,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,411.9,27.5,752,50.6,119.4,411.3,466.5,905,858.3,701.4,142.6,60.5,65.9,771.2,545,56.8,23.4,483.2,,,10904,257.2,69.3,4276.2,585.9,282.1,132.6,86,115.8,844.3,5134.5,67.2,75.5,193.9,38.5,6039.5,5181.2,200.3,16.7,43.6,5.7,28.2,18.3,14.3,9.2,283.2
01-08-1996,146.5,617.9,45.6,256.1,241.7,36.3,54.4,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,415.6,27.6,755.1,52,119.5,414.6,471.4,911.8,849.5,703.1,143.3,59.8,66.3,773.5,533,57.2,23.7,486.3,,,11889,257.8,69.5,4306.5,596.8,283.5,133.9,86.4,115.5,851.1,5156,69.4,76,197,38.7,6067.8,5218.3,201.5,17.3,43.7,5.3,28.1,18.6,14.4,9.2,284.7
01-09-1996,145.9,617,46.4,263.2,248.9,36.2,54.3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,416,27.7,763,58.7,119.4,414.1,471.1,913.1,938.4,704.3,144.3,60,66.2,771.1,620.5,57.2,23.9,487.1,,,11280,257.8,69.7,4324.8,605.9,285.5,132.9,86,115.2,853.2,5263.2,71.1,76.7,198.5,38.6,6176.3,5237.9,201.9,17.7,43.9,5.3,28,18.7,14.3,9.3,285.5
01-10-1996,146.4,620,46.7,262.5,248.1,35.4,54.4,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,424.5,27.5,765.8,61.8,119.3,414.7,473.6,920.9,944.9,704,142.2,59.9,66.3,774.1,624.2,56.5,24.6,486.5,,,9895,259.1,70.1,4340.4,607.3,288.3,132.7,86.4,116.5,860.7,5285.3,70.9,76.4,201.4,39.2,6206.2,5261.3,201.2,17.6,43.6,5,28.2,18.6,14.4,9.2,287.1
01-11-1996,149,628.8,47.2,271.6,257.2,35.7,54.7,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,426.1,27.9,771.1,62.5,120.3,416.3,479.8,924.7,952.3,708.6,143.7,61,66.6,785.8,629.8,57.2,24.7,488.7,,,9088,260.6,70.5,4411,620.1,291.3,132.9,86.4,117.5,891.4,5363.3,73.1,77.5,202.2,40,6288,5335.7,203.8,18.2,44.2,4.9,28.4,18.9,14.4,9.3,289.8
01-12-1996,151.2,638.7,48.1,276.1,261.6,36.6,54.9,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,425.1,31.4,773.7,61.9,123.1,420.9,487.5,925.4,952.4,711.8,145.2,61.1,67.4,798.8,626.8,58.2,25.1,490.2,,,8798,262.5,71.4,4477,629.3,295,134.3,87.3,118.4,916.8,5429.4,74.2,77.4,202.5,40.4,6354.8,5402.4,209.5,18.4,44.6,4.6,28.2,19,14.5,9.6,292.1
01-01-1997,150.3,636.2,53.6,265.2,250.7,36.4,54.3,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,418.5,27.6,767.2,60.2,120,412.2,485.9,917.3,947.7,707,144.2,59.6,66,798.4,623.9,58.6,24.4,489,,,9863,263.3,73.2,4397.6,618.2,294.4,131.9,86.1,117.9,871.2,5345.3,71.6,77.3,203.8,40.4,6262.6,5314.9,205,17.8,44.5,5.2,26.9,18.9,14.5,9.5,291
01-02-1997,155.4,652.4,54.6,276.1,261.7,36.6,54.8,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,419.1,27.5,773.4,62.9,119.8,415.9,497,919.3,954.8,710.5,145.9,61.1,66.4,819,632,58.9,25,490.4,,,9209,265.6,73.8,4444.6,633.6,298.6,132.5,86.4,119.1,863.3,5399.4,74.2,78.4,203,41.3,6318.7,5363.9,207.5,18.5,44.8,4.8,27,19.4,14.4,9.6,293.4
01-03-1997,159.2,665.3,54.4,291.2,276.6,37.2,55.1,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,423.1,27.3,779.1,63.1,119.8,420.7,506.1,923,956.4,716,147.3,62.7,67.1,835,632.6,58.8,25.6,490.2,,,12207,267.3,74.4,4498.7,651.4,301.4,133.9,87.3,119.5,867,5455.1,77.8,79.6,204,41.7,6378.1,5421.7,208.9,19.3,44.9,4.8,27.2,19.7,14.6,9.6,294.8
01-04-1997,156,654.5,52.9,300.6,286.1,37,55.1,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,423.6,28.3,778.9,64.2,120.1,424.6,498.5,919.2,955,714.7,145.9,62.6,68.1,822.7,630.6,58.8,26.3,486.1,,,11212,268.4,74.3,4504.1,662,302.6,135.6,88.2,120.6,869.5,5459.1,80.1,78.9,204.3,40.8,6378.3,5423.3,208.3,19.9,44.7,4.5,27.5,19.5,14.5,9.5,296.3
01-05-1997,154.7,652.1,46.8,307.4,292.8,37.1,56.1,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,426.5,27.9,781.2,62.9,120.1,428.4,497.4,922.2,956,718.3,150.1,62.1,68.6,817.6,632.2,59.1,26.5,486.2,,,11185,269.4,74.4,4517.2,666.2,299.7,136.3,88.8,120.9,870.8,5473.2,81.7,79.7,203.7,40.8,6395.4,5439.4,208.3,20.3,45.1,4.6,27.3,19.6,14.6,9.6,297.9
01-06-1997,153.3,646.1,46.6,316.3,301.6,37,56.4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,430,27.7,781,60.3,120.1,430.8,492.8,924.2,943.2,720.7,148.8,61.3,69.5,811,628.7,59.4,26.9,484.7,,,11798,270.3,74.2,4522.3,678.1,302.4,136.3,89,122.1,868.6,5465.5,83.8,79.8,194.4,41.1,6389.7,5446.5,208.5,20.8,45.3,5.1,27.1,19.7,14.7,9.8,298.1
01-07-1997,150.9,634.7,45.2,329.8,315.1,37,56.6,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,429.2,27.6,773.8,56.5,120,432.9,483.8,919.7,877.4,717.3,148.9,59.8,68.9,798.6,560.6,59.2,26.6,481.1,,,12561,271.1,73,4495.1,687.9,298.9,136.2,89,124.5,851.7,5372.5,87,77.8,196.8,40.7,6292.2,5414.8,207,21.7,44.7,5.1,27.4,20.1,14.7,9.6,295.8
01-08-1997,151.9,639.9,45.5,339,324.4,37,57.1,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,432.4,19.8,778.7,57.7,120.2,435.2,488,925.7,867.9,721,151.7,60,69.1,803.1,547.7,59.5,26.8,483.8,,,10272,273,73.2,4522.6,700.3,301.8,137.2,89.6,125.4,857.3,5390.5,89.2,78.2,200,40.3,6316.2,5448.3,199.4,22.2,45,5.1,27.4,20,14.6,9.9,296.5
01-09-1997,150.7,639.2,46.2,344.1,329.5,37,57.5,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,435.3,28,788.1,64.2,120.3,436.9,488.5,927.4,951.1,723.9,151.3,59.9,69.1,801.4,628.2,59.4,27.3,482.5,,,11785,273.1,74,4554.8,707.3,303.8,136.6,89.6,124.5,861.5,5505.9,90.5,79.1,202.6,40.5,6433.3,5482.2,208.4,22.5,45.1,5,27.6,20.1,14.6,9.9,299.2
01-10-1997,147.9,623.2,45.4,348.6,333.9,36.3,57.8,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,440.7,28.5,789.5,66.4,120,433.4,475.3,931.8,962,723.1,149.1,61.4,70.5,785.7,635.5,60.7,28.3,481.7,,,12103,271.3,73.3,4565.3,715.6,306.3,135.6,88.9,124.2,880.6,5527.3,91.5,79.6,206.5,41.6,6459.1,5497.1,210.2,22.8,45.9,4.5,28.8,20.3,14.7,9.8,301.1
01-11-1997,149.4,632.3,46,355.5,340.6,36.6,57.9,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,441.3,29.1,794.9,67.4,120.8,436,482.9,934.8,965.5,727.5,150.4,61.3,70.5,797.5,637.8,61.2,28.7,484.1,,,8517,272,73.7,4621.6,725.2,308.5,135.8,88.7,124.5,901.3,5587.1,93.1,80.7,206.9,42.5,6521.9,5556.4,212,23.2,46.1,4.3,28.6,20.3,14.9,9.9,303.7
01-12-1997,151.3,640.6,48.1,350.5,335.4,37.2,58.6,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,444.5,33.6,799.1,67.1,123.4,442.1,489.3,941.7,969.2,732,152.8,61.1,71.6,807.8,639,61.8,29.4,487.7,,,9662,273.8,74.6,4687.4,727,314.7,137.2,89.8,125.5,930.9,5656.6,91.9,80.9,206.8,43.4,6598.3,5629.1,218.8,22.9,46.7,4.2,28.4,20.5,15.1,10,306.7
01-01-1998,156.4,640.7,54.2,330.3,315.2,37.4,57.3,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,431.4,28.4,794.2,64.6,119.8,442.2,484.3,926.1,964.6,729.6,155.1,60.4,69.7,807.8,637.1,63.4,29,485.4,,,10712,271.2,74.2,4614.2,708.2,314.5,135.5,87.9,123.9,892.7,5578.8,87,81.2,207.7,43.2,6504.9,5540.3,213,21.7,46.1,4.7,26.9,20.7,15.1,9.8,302.9
01-02-1998,161.7,657.7,55.3,344.2,328.9,37.6,57.8,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,435.3,28.1,802,68,119.4,445.4,496,931.8,969.5,734,156.7,62,70.1,827,643.5,63,29.7,487.2,,,9713,273.5,74.7,4663.1,726.4,319.2,137.1,88.9,125.2,884.1,5632.6,90.3,82.2,206.6,43.8,6564.4,5594.9,214.7,22.5,46.5,4.3,27,20.7,15.3,9.9,306.3
01-03-1998,163.9,668.9,54.7,351.5,336,37.3,58.4,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,439.4,27.6,806.4,68.4,119.5,448.2,505,936.3,974,738,157.9,63.6,71,839.9,646.9,63,29.8,487.5,,,12284,276.1,75.1,4704.3,736.2,321.7,138.1,89.7,126.9,889,5678.3,92,83.1,207.6,44.2,6614.6,5640.6,214.9,22.9,46.6,4.4,27.3,21,15.5,9.9,308.4
